有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
DBFE6　華航股票期貨2026/05,TW000DBFE602,2026/03/19,期貨及選擇權,,FFSCSX,
DBFF6　華航股票期貨2026/06,TW000DBFF609,2025/07/17,期貨及選擇權,,FFSCSX,
DBFI6　華航股票期貨2026/09,TW000DBFI603,2025/10/16,期貨及選擇權,,FFSCSX,
DBFL6　華航股票期貨2026/12,TW000DBFL607,2026/01/22,期貨及選擇權,,FFSCSX,
DCFC7　彰銀股票期貨2027/03,TW000DCFC703,2026/04/16,期貨及選擇權,,FFSCSX,
DCFE6　彰銀股票期貨2026/05,TW000DCFE600,2026/03/19,期貨及選擇權,,FFSCSX,
DCFF6　彰銀股票期貨2026/06,TW000DCFF607,2025/07/17,期貨及選擇權,,FFSCSX,
DCFI6　彰銀股票期貨2026/09,TW000DCFI601,2025/10/16,期貨及選擇權,,FFSCSX,
DCFL6　彰銀股票期貨2026/12,TW000DCFL605,2026/01/22,期貨及選擇權,,FFSCSX,
DE1F6　永豐金股票期貨2026/06,TW000DE1F601,2025/07/17,期貨及選擇權,,FFSCSX,
DEFC7　永豐金股票期貨2027/03,TW000DEFC709,2026/04/16,期貨及選擇權,,FFSCSX,
DEFE6　永豐金股票期貨2026/05,TW000DEFE606,2026/03/19,期貨及選擇權,,FFSCSX,
DEFF6　永豐金股票期貨2026/06,TW000DEFF603,2025/07/17,期貨及選擇權,,FFSCSX,
DEFI6　永豐金股票期貨2026/09,TW000DEFI607,2025/10/16,期貨及選擇權,,FFSCSX,
DEFL6　永豐金股票期貨2026/12,TW000DEFL601,2026/01/22,期貨及選擇權,,FFSCSX,
DFFC7　台泥股票期貨2027/03,TW000DFFC706,2026/04/16,期貨及選擇權,,FFSCSX,
DFFE6　台泥股票期貨2026/05,TW000DFFE603,2026/03/19,期貨及選擇權,,FFSCSX,
DFFF6　台泥股票期貨2026/06,TW000DFFF600,2025/07/17,期貨及選擇權,,FFSCSX,
DFFI6　台泥股票期貨2026/09,TW000DFFI604,2025/10/16,期貨及選擇權,,FFSCSX,
DFFL6　台泥股票期貨2026/12,TW000DFFL608,2026/01/22,期貨及選擇權,,FFSCSX,
DGFC7　台化股票期貨2027/03,TW000DGFC704,2026/04/16,期貨及選擇權,,FFSCSX,
DGFE6　台化股票期貨2026/05,TW000DGFE601,2026/03/19,期貨及選擇權,,FFSCSX,
DGFF6　台化股票期貨2026/06,TW000DGFF608,2025/07/17,期貨及選擇權,,FFSCSX,
DGFI6　台化股票期貨2026/09,TW000DGFI602,2025/10/16,期貨及選擇權,,FFSCSX,
DGFL6　台化股票期貨2026/12,TW000DGFL606,2026/01/22,期貨及選擇權,,FFSCSX,
DHFC7　鴻海股票期貨2027/03,TW000DHFC702,2026/04/16,期貨及選擇權,,FFSCSX,
DHFE6　鴻海股票期貨2026/05,TW000DHFE609,2026/03/19,期貨及選擇權,,FFSCSX,
DHFF6　鴻海股票期貨2026/06,TW000DHFF606,2025/07/17,期貨及選擇權,,FFSCSX,
